name,slottime_GMT,slottype,slotavg,pointTitle
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 03:00:00,H,112.500000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 03:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 03:00:00,H,302.254250000,Steam
SneeHall.CW.FP/TONS,2022-04-14 04:00:00,H,49.332800000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 04:00:00,H,108.025000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 04:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 04:00:00,H,269.777675000,Steam
SneeHall.CW.FP/TONS,2022-04-14 05:00:00,H,42.002025000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 05:00:00,H,103.600000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 05:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 05:00:00,H,251.655150000,Steam
SneeHall.CW.FP/TONS,2022-04-14 06:00:00,H,43.743625000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 06:00:00,H,102.400000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 06:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 06:00:00,H,234.842525000,Steam
SneeHall.CW.FP/TONS,2022-04-14 07:00:00,H,49.519300000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 07:00:00,H,106.100000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 07:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 07:00:00,H,264.618475000,Steam
SneeHall.CW.FP/TONS,2022-04-14 08:00:00,H,51.201450000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 08:00:00,H,121.350000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 08:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 08:00:00,H,287.092050000,Steam
SneeHall.CW.FP/TONS,2022-04-14 09:00:00,H,49.030675000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 09:00:00,H,127.950000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 09:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 09:00:00,H,383.569150000,Steam
SneeHall.CW.FP/TONS,2022-04-14 10:00:00,H,46.364075000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 10:00:00,H,124.950000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 10:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 10:00:00,H,418.238375000,Steam
SneeHall.CW.FP/TONS,2022-04-14 11:00:00,H,44.472275000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 11:00:00,H,123.375000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 11:00:00,H,0.050000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 11:00:00,H,359.187100000,Steam
SneeHall.CW.FP/TONS,2022-04-14 12:00:00,H,71.380875000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 12:00:00,H,128.275000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 12:00:00,H,0.550000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 12:00:00,H,296.051175000,Steam
SneeHall.CW.FP/TONS,2022-04-14 13:00:00,H,78.851175000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 13:00:00,H,128.000000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 13:00:00,H,1.100000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 13:00:00,H,300.466550000,Steam
SneeHall.CW.FP/TONS,2022-04-14 14:00:00,H,75.463375000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 14:00:00,H,133.475000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 14:00:00,H,1.575000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 14:00:00,H,294.528975000,Steam
