name,slottime_GMT,slottype,slotavg,pointTitle
AliceCookHouse.HW.FP/TONS,2022-04-20 00:00:00,D,11546.461666666,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-21 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-21 00:00:00,D,45.384269662,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-21 00:00:00,D,80.522340425,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-21 00:00:00,D,23610.623645833,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-21 00:00:00,D,7999.355625000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-21 00:00:00,D,8219.176250000,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-22 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-22 00:00:00,D,46.075641025,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-22 00:00:00,D,80.228260869,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-22 00:00:00,D,24756.970093750,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-22 00:00:00,D,8152.669479166,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-22 00:00:00,D,7671.190520833,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-23 00:00:00,D,2.744939583,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-23 00:00:00,D,55.123684210,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-23 00:00:00,D,90.924210526,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-23 00:00:00,D,51303.457708333,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-23 00:00:00,D,7258.099895833,Domestic Hot Water for Alice Cook House
